deck_id,avg_elixirCost,avg_card_usage,total_hitpoints,num_air,num_troop,num_spell,num_building,num_winconditions,num_cycle_cards,num_air_attackers,num_splash_cards,deck_name,deck_win_rate
116,2.88,5.84,4289.0,1.0,5.0,2.0,1.0,0.0,6.0,3.0,3.0,Deck 116,58.48
117,1.75,7.34,4367.0,0.0,5.0,2.0,1.0,0.0,6.0,2.0,1.0,Deck 117,58.43
118,4.25,6.82,721.0,0.0,1.0,7.0,0.0,1.0,2.0,7.0,7.0,Deck 118,58.41
119,3.12,9.33,9175.0,1.0,6.0,2.0,0.0,1.0,5.0,3.0,3.0,Deck 119,58.37
120,2.88,13.8,3759.0,0.0,4.0,3.0,1.0,0.0,6.0,3.0,4.0,Deck 120,58.19
121,3.88,7.6,10436.0,3.0,6.0,2.0,0.0,1.0,4.0,5.0,3.0,Deck 121,58.18
122,3.5,8.92,6391.0,4.0,6.0,2.0,0.0,1.0,4.0,5.0,2.0,Deck 122,58.06
123,4.38,4.9,10602.0,2.0,6.0,2.0,0.0,1.0,2.0,4.0,3.0,Deck 123,58.04
124,4.12,6.02,9028.0,2.0,5.0,3.0,0.0,1.0,3.0,5.0,5.0,Deck 124,58.01
125,3.12,10.56,5890.0,0.0,5.0,2.0,1.0,0.0,6.0,3.0,3.0,Deck 125,58.0
126,4.62,3.19,12856.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,Deck 126,57.93
127,3.0,12.45,5163.0,0.0,5.0,2.0,1.0,0.0,7.0,3.0,3.0,Deck 127,57.92
129,3.25,5.45,7600.0,0.0,5.0,2.0,1.0,0.0,5.0,3.0,3.0,Deck 129,57.85
130,4.0,7.02,6913.0,1.0,5.0,2.0,1.0,1.0,3.0,4.0,3.0,Deck 130,57.82
131,3.0,6.05,7505.0,0.0,6.0,2.0,0.0,1.0,6.0,3.0,3.0,Deck 131,57.82
132,4.38,4.78,11241.0,1.0,6.0,2.0,0.0,1.0,2.0,4.0,4.0,Deck 132,57.69
133,3.62,8.63,4901.0,0.0,4.0,3.0,1.0,0.0,4.0,4.0,4.0,Deck 133,57.34
134,3.5,9.22,7489.0,0.0,5.0,2.0,1.0,0.0,4.0,3.0,5.0,Deck 134,57.27
135,3.12,5.63,6560.0,0.0,5.0,2.0,1.0,0.0,6.0,3.0,3.0,Deck 135,57.22
136,4.25,4.9,11299.0,0.0,6.0,2.0,0.0,1.0,3.0,3.0,3.0,Deck 136,57.2
137,3.5,10.63,7712.0,1.0,6.0,1.0,1.0,1.0,6.0,3.0,3.0,Deck 137,57.2
138,3.75,8.21,7999.0,0.0,3.0,3.0,2.0,0.0,4.0,5.0,5.0,Deck 138,57.11
139,4.0,4.26,10969.0,2.0,6.0,2.0,0.0,1.0,3.0,4.0,4.0,Deck 139,57.1
140,3.5,9.23,5301.0,1.0,5.0,2.0,1.0,0.0,4.0,4.0,3.0,Deck 140,56.94
141,3.75,10.64,9116.0,1.0,5.0,2.0,0.0,1.0,2.0,3.0,4.0,Deck 141,56.87
142,4.12,3.82,7569.0,0.0,5.0,2.0,1.0,2.0,4.0,2.0,3.0,Deck 142,56.81
143,4.38,5.1,10637.0,1.0,4.0,3.0,1.0,1.0,2.0,4.0,6.0,Deck 143,56.76
144,3.0,13.06,5133.0,0.0,4.0,2.0,2.0,0.0,5.0,4.0,2.0,Deck 144,56.75
145,3.75,6.95,4747.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,2.0,Deck 145,56.7
146,3.75,7.12,9120.0,2.0,7.0,1.0,0.0,0.0,3.0,3.0,4.0,Deck 146,56.63
147,3.62,3.37,6718.0,2.0,6.0,1.0,1.0,0.0,4.0,3.0,3.0,Deck 147,56.56
148,2.75,14.35,4809.0,0.0,5.0,2.0,1.0,0.0,7.0,2.0,3.0,Deck 148,56.43
149,2.62,5.3,3676.0,0.0,4.0,2.0,2.0,0.0,6.0,2.0,4.0,Deck 149,56.3
150,3.12,8.44,5549.0,1.0,5.0,2.0,1.0,0.0,6.0,4.0,4.0,Deck 150,56.22
151,3.62,13.27,10480.0,0.0,6.0,1.0,1.0,1.0,6.0,3.0,4.0,Deck 151,56.21
152,4.0,8.08,8453.0,4.0,6.0,2.0,0.0,1.0,4.0,5.0,4.0,Deck 152,56.07
153,2.88,11.21,5340.0,2.0,6.0,2.0,0.0,0.0,5.0,4.0,2.0,Deck 153,55.81
154,2.88,5.35,4628.0,0.0,3.0,3.0,2.0,0.0,5.0,4.0,5.0,Deck 154,55.72
155,3.75,5.62,5751.0,0.0,5.0,3.0,0.0,1.0,4.0,4.0,4.0,Deck 155,55.66
156,2.38,5.3,3676.0,0.0,4.0,2.0,2.0,0.0,6.0,2.0,4.0,Deck 156,55.55
157,4.62,4.89,11700.0,2.0,5.0,2.0,1.0,1.0,2.0,4.0,4.0,Deck 157,55.19
158,3.75,5.9,5403.0,0.0,4.0,3.0,1.0,0.0,3.0,4.0,5.0,Deck 158,54.78
159,4.38,7.19,7688.0,1.0,6.0,2.0,0.0,2.0,2.0,4.0,3.0,Deck 159,54.37
160,3.38,7.78,7299.0,3.0,5.0,2.0,1.0,0.0,4.0,4.0,3.0,Deck 160,54.34
161,4.25,5.9,10752.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,7.0,Deck 161,54.25
